,date,fromStart,infectionRateCI90,testPositivityRatio,caseDensity,weeklyNewCasesPer100k,infectionRate,FoxPolarity,VoxPolarity
82,2020-06-06,87,0.1,0.059,6.4,45.0,1.03,0.2364432773109243,-0.17844375
83,2020-06-07,88,0.1,0.058,6.3,44.3,1.04,-0.0572470297029703,-0.2511
84,2020-06-08,89,0.1,0.059,6.2,43.5,1.05,0.2621424242424242,0.1830833333333333
85,2020-06-09,90,0.1,0.058,6.2,43.3,1.06,0.2348971666666666,-0.1006666666666666
86,2020-06-10,91,0.1,0.058,6.2,43.4,1.07,0.1304214797136038,-0.0765652173913043
87,2020-06-11,92,0.1,0.057,6.3,44.1,1.09,0.0379654696132596,-0.0834904761904761
88,2020-06-12,93,0.1,0.058,6.3,44.4,1.1,0.1755363924050632,0.037624
89,2020-06-13,94,0.1,0.058,6.4,44.9,1.11,0.2545683185840708,0.9759
90,2020-06-14,95,0.1,0.059,6.4,45.1,1.13,-0.1414509727626459,-0.7213666666666666
91,2020-06-15,96,0.1,0.061,6.5,45.6,1.14,0.1476825806451613,0.3202833333333333
92,2020-06-16,97,0.1,0.063,6.8,47.5,1.15,-0.0293867605633802,0.0207590909090909
93,2020-06-17,98,0.1,0.066,7.0,49.0,1.16,0.1827882352941176,0.3992772727272727
94,2020-06-18,99,0.1,0.069,7.2,50.5,1.17,0.1420368421052631,0.14445
95,2020-06-19,100,0.1,0.072,7.5,52.4,1.18,0.2633327450980392,0.1965
96,2020-06-20,101,0.1,0.074,7.8,54.8,1.19,0.3320995260663507,0.4135714285714286
97,2020-06-21,102,0.1,0.076,8.1,57.0,1.19,0.3418682080924855,0.9966
98,2020-06-22,103,0.1,0.077,8.6,60.1,1.19,0.1351,0.46964375
99,2020-06-23,104,0.1,0.078,9.0,63.1,1.2,0.2058418032786885,0.4233807692307692
100,2020-06-24,105,0.1,0.079,9.5,66.6,1.2,0.2170675675675675,0.2802
101,2020-06-25,106,0.1,0.08,10.0,69.9,1.19,0.1764098101265822,0.706225
102,2020-06-26,107,0.1,0.083,10.6,74.0,1.19,0.3076864035087719,0.6178833333333333
103,2020-06-27,108,0.1,0.085,11.0,77.1,1.19,0.2818552050473186,0.9636
104,2020-06-28,109,0.1,0.086,11.6,81.1,1.18,0.0992454545454545,-0.079
105,2020-06-29,110,0.1,0.088,12.0,83.8,1.18,0.1083451162790697,0.56255
106,2020-06-30,111,0.1,0.091,12.5,87.8,1.17,0.0746045454545454,0.4248
107,2020-07-01,112,0.1,0.095,13.1,91.8,1.16,0.245933073929961,0.328178947368421
108,2020-07-02,113,0.1,0.097,13.8,96.7,1.16,0.1688531400966183,0.5472733333333333
109,2020-07-03,114,0.1,0.098,14.3,100.2,1.15,0.1797059405940594,0.3338
111,2020-07-05,116,0.1,0.102,14.9,104.2,1.14,0.2487551282051282,0.9943
112,2020-07-06,117,0.1,0.104,15.2,106.3,1.13,0.1936552188552188,0.6651166666666667
113,2020-07-07,118,0.1,0.105,15.4,108.0,1.12,0.1956014117647058,0.6001615384615385
114,2020-07-08,119,0.1,0.105,15.8,110.9,1.11,0.3232942105263158,0.3455666666666667
115,2020-07-09,120,0.1,0.105,16.0,112.2,1.11,0.3065784897025171,0.331425
116,2020-07-10,121,0.1,0.105,16.5,115.5,1.1,0.3224269592476489,0.7302333333333333
117,2020-07-11,122,0.1,0.105,17.0,118.8,1.09,0.264270564516129,0.9914
118,2020-07-12,123,0.1,0.105,17.5,122.7,1.08,0.1432296442687747,0.6658666666666667
